Region,Buyer,Supplier,Specific Part Name
ASEAN・India・Korea,Honda,P.T. Nichirin Indonesia,Brake hose
ASEAN・India・Korea,Kia,Hanil Tube India Private Ltd.,Brake line
Europe,Skoda,Cooper-Standard Holdings Inc.,Brake hose
Americas,Ford,Proterial Cable America Inc. (Formerly Hitachi Cable America Inc.),Brake hose
ASEAN・India・Korea,Isuzu,Proterial (Thailand) Ltd. (Formerly Hitachi Metals (Thailand) Ltd.),Brake hose
Europe,Peugeot,Cooper-Standard Holdings Inc.,Brake hose
Americas,Daimler,TI Automotive USA (Cartersville Georgia),Brake line
China,Dongfeng Nissan,Suzhou Nichirin Automobile Parts Co. Ltd.,Brake hose assembly
Europe,Mitsubishi,Federal-Mogul Holdings LLC,Brake hose
Europe,Bentley,FTE automotive GmbH,Brake hose
Europe,Opel,TI Fluid Systems Plc. (Formerly TI Automotive Limited),Vacuum brake booster line
Europe,Peugeot,TI Fluid Systems Plc. (Formerly TI Automotive Limited),Brake hose
Europe,Jaguar Land Rover,Hutchinson S.A.,Vacuum brake line
Americas,Dodge,TI Fluid Systems Plc. (Formerly TI Automotive Limited),Brake line
Europe,Jeep,TI Poland Sp. z o.o.,Brake line
Japan,Subaru,Proterial Ltd. (Formerly Hitachi Metals Ltd.),Brake hose
Americas,Nissan,HC Queretaro S.A. de C.V.,Vacuum brake hose
ASEAN・India・Korea,Mazda,Proterial Ltd. (Formerly Hitachi Metals Ltd.),Brake hose
Europe,Mercedes-Benz,Continental AG,Rear brake hose
Europe,Saab,TI Fluid Systems Plc. (Formerly TI Automotive Limited),Brake line
ASEAN・India・Korea,Toyota,Imperial Auto Industries Ltd.,Brake hose
Americas,Ford,TI Fluid Systems Plc. (Formerly TI Automotive Limited),Brake line
Americas,Rivian,TI Fluid Systems Plc. (Formerly TI Automotive Limited),Brake line
China,GAC Honda,Suzhou Nichirin Automobile Parts Co. Ltd.,Brake hose(1.5T)(CVT)
Europe,Skoda,FTE automotive GmbH,Brake hose
Europe,Volkswagen,TI Fluid Systems Plc. (Formerly TI Automotive Limited),Brake hose
Europe,Opel,Freudenberg SE,Brake hose
Europe,Volkswagen,A. Kayser Automotive Systems GmbH,Vacuum hose
Americas,Ford,Cooper-Standard Holdings Inc.,Vacuum brake line
Europe,Peugeot,Flexitech Inc.,Brake hose
Europe,Volvo Cars,Continental AG,Brake hose
Americas,Dodge,Flexitech Inc.,Rear brake hose
Europe,Renault,Akwel SA - Champfromier (Formerly MGI Coutier),Brake hose
Europe,Daimler,TI Fluid Systems Plc. (Formerly TI Automotive Limited),Booster line
Europe,Maserati,TI Fluid Systems Plc. (Formerly TI Automotive Limited),Rigit brake line
China,Dongfeng Nissan,Nichirin Co. Ltd.,Hydraulic brake hose
Europe,Porsche,DELFINGEN DE-Aschheim GmbH (Formerly Schlemmer Holding GmbH),Vacuum hose
ASEAN・India・Korea,Toyota,TI Fluid Systems Plc. (Formerly TI Automotive Limited),Brake line
Europe,Skoda,FTE automotive GmbH,Front brake hose
Americas,Daimler,TI Automotive LLC,Brake line
Europe,Peugeot,Flexitech Inc.,Front brake hose
Europe,SEAT,TI Fluid Systems Plc. (Formerly TI Automotive Limited),Brake line
ASEAN・India・Korea,Suzuki,Toyoda Gosei Minda India Pvt. Ltd. - Bawal Plant2 (Formerly MINDA TG Rubber Pvt. Ltd.),Rear brake hose
Europe,Opel,TI Fluid Systems Plc. (Formerly TI Automotive Limited),Brake line
Americas,Ford,Martinrea International US Inc.,Brake line
Japan,Subaru,Toyoda Gosei Co. Ltd.,Brake hose
Europe,Audi,Continental AG,Brake hose
Americas,Jeep,Flexitech Inc.,Brake hose
Americas,Nissan,HC Queretaro S.A. de C.V.,Brake hose
Europe,Bentley,A. Kayser Automotive Systems GmbH,Vacuum hose
ASEAN・India・Korea,Toyota,Proterial Ltd. (Formerly Hitachi Metals Ltd.),Brake hose
Americas,Volkswagen,Cooper-Standard Holdings Inc.,Brake hose
Europe,Citroen,Hutchinson S.A.,Rear brake hose
Europe,Fiat,Continental AG,Rear brake hose
Europe,Alfa Romeo,TI Fluid Systems Plc. (Formerly TI Automotive Limited),Brake hose
Americas,Chrysler,Cooper-Standard Holdings Inc.,Brake hose
ASEAN・India・Korea,Nissan,Proterial (Thailand) Ltd. (Formerly Hitachi Metals (Thailand) Ltd.),Brake hose
Europe,Porsche,Metzeler Schaum GmbH (Vita Metzo),Brake line
China,GAC Toyota,Guangzhou Maruyasu Pipeline System Co. Ltd.,Brake hose
Europe,Ford,Continental AG,Brake hose
Europe,Audi,Flexitech Europe SAS,Front brake hose
Europe,Daimler,Freudenberg SE,Brake hose
Europe,Audi,Continental AG,Front brake hose
Americas,Jeep,Flexitech Inc.,Front brake hose
Americas,Dodge,Martinrea International Inc.,Brake hose
Japan,Suzuki,Meiji Flow Systems Co. Ltd.,Vacuum brake hose
Americas,Volkswagen,TI Fluid Systems Plc. (Formerly TI Automotive Limited),Brake hose
Japan,Toyota,Sanoh Industrial Co. Ltd.,Brake hose
Americas,Volkswagen,A. Kayser Automotive Systems GmbH,Vacuum hose
Europe,Renault,Cooper-Standard Holdings Inc.,Brake hose
Europe,Ford,Teklas Kaucuk San. Ve Tic. A.S.,Brake hose
Europe,BMW,Continental AG,Brake hose
Europe,Jaguar Land Rover,TI Fluid Systems Plc. (Formerly TI Automotive Limited),Brake line
Europe,Audi,Cooper-Standard Holdings Inc.,Brake line
Europe,Peugeot,Hutchinson S.A.,Brake hose
Americas,Ford,TI Automotive USA (Ashley Indiana),Brake line
Europe,Fiat,DN Automotive Italy s.r.l. (Formerly C.F. Gomma S.p.A.),Rear brake hose
Americas,Ford,Proterial Ltd. (Formerly Hitachi Metals Ltd.),Brake hose
Europe,Daimler,TI Fluid Systems Plc. (Formerly TI Automotive Limited),Brake line
Americas,Volkswagen,Flexitech Inc.,Brake hose
Americas,Ford,Martinrea International Inc.,Brake line
Americas,Chrysler,Flexitech Inc.,Brake hose
Europe,Peugeot,Hutchinson S.A.,Front brake hose
Europe,Lancia,TI Fluid Systems Plc. (Formerly TI Automotive Limited),Brake line
Europe,Maserati,TI Fluid Systems Plc. (Formerly TI Automotive Limited),Brake line
Japan,Subaru,Nichirin Co. Ltd.,Brake hose
China,FAW-Volkswagen,Changchun Chinaust Automobile Parts Co. Ltd.,Vacuum hose
Europe,Daimler,A. Kayser Automotive Systems GmbH,Vacuum brake line
China,Shanghai Volkswagen,Shanghai Automotive Brake Systems Co. Ltd.,Front brake hose
Americas,Chrysler,Flexitech Inc.,Front brake hose
Europe,Audi,FTE automotive GmbH,Brake line
ASEAN・India・Korea,Mitsubishi,Inoac Tokai (Thailand) Co. Ltd.,Vaccum hose
Americas,Honda,TI Automotive-Fluid Carrying Systems (Cambridge),Brake line
Europe,Dacia,TI Fluid Systems Plc. (Formerly TI Automotive Limited),Brake hose
ASEAN・India・Korea,Tata,Imperial Auto Industries Ltd.,Brake hose
Japan,Suzuki,Meiji Flow Systems Co. Ltd.,Brake hose
ASEAN・India・Korea,Hyundai,Imperial Auto Industries Ltd.,Brake hose
China,SAIC GM Wuling,Sichuan Chuanhuan Technology Co. Ltd.,Brake vacuum hose
Europe,Volvo Cars,TI Fluid Systems Plc. (Formerly TI Automotive Limited),Brake hose
Americas,GM,Atlas Fluid Systems,Brake line
Europe,BMW,Flexitech Europe SAS,Brake hose
Americas,BMW,Continental AG,Brake hose
Europe,Toyota,TI Fluid Systems Plc. (Formerly TI Automotive Limited),Brake line
Europe,Audi,A. Kayser Automotive Systems GmbH,Vacuum hose
Americas,Chrysler,TI Automotive LLC,Brake line
